epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
45,1.0,0.00047589399036951363,1.0,1.0,1.0,0.00035521783865988255,1.0,1.0
46,1.0,0.00046130685950629413,1.0,1.0,1.0,0.0003383014409337193,1.0,1.0
47,1.0,0.0003636331239249557,1.0,1.0,1.0,0.00032312041730619967,1.0,1.0
48,1.0,0.0004244696465320885,1.0,1.0,1.0,0.000309249444399029,1.0,1.0
49,1.0,0.00033277078182436526,1.0,1.0,1.0,0.00030293507734313607,1.0,1.0
0,0.1875,1.6149623394012451,0.0,0.0,1.0,1.4158958196640015,0.0,0.0
1,0.71875,1.4389395713806152,0.0,0.0,0.75,1.2198107242584229,0.0,0.0
2,0.71875,1.257615089416504,0.0,0.0,1.0,0.8577760457992554,1.0,0.125
3,0.96875,0.8964196443557739,1.0,0.125,0.75,0.5446115136146545,1.0,0.625
4,0.625,0.6883566379547119,0.8571428656578064,0.5625,0.25,1.6129345893859863,0.1666666716337204,0.125
5,0.375,1.331070899963379,0.3333333432674408,0.28125,0.375,0.7082582712173462,0.375,0.375
6,0.40625,0.7404476404190063,0.48148149251937866,0.40625,0.875,0.5646358132362366,0.875,0.875
7,0.75,0.8386290669441223,0.75,0.75,1.0,0.2661902606487274,1.0,1.0
8,0.78125,0.48237255215644836,0.7407407164573669,0.625,1.0,0.20134086906909943,1.0,1.0
9,0.9375,0.28436434268951416,0.9666666388511658,0.90625,1.0,0.32810062170028687,1.0,0.75
10,0.875,0.3264116942882538,1.0,0.84375,1.0,0.3070196509361267,1.0,1.0
11,0.9375,0.27109697461128235,0.9354838728904724,0.90625,1.0,0.1798739731311798,1.0,1.0
12,0.96875,0.2105262577533722,1.0,0.9375,1.0,0.07995107769966125,1.0,1.0
13,1.0,0.1084279865026474,1.0,1.0,1.0,0.06771312654018402,1.0,1.0
14,1.0,0.10640114545822144,1.0,1.0,1.0,0.051077451556921005,1.0,1.0
15,1.0,0.07051713764667511,1.0,1.0,1.0,0.03368258848786354,1.0,1.0
16,1.0,0.05749009549617767,1.0,1.0,1.0,0.019818712025880814,1.0,1.0
17,1.0,0.030573179945349693,1.0,1.0,1.0,0.013397401198744774,1.0,1.0
18,1.0,0.023203164339065552,1.0,1.0,1.0,0.009077077731490135,1.0,1.0
19,1.0,0.014367389492690563,1.0,1.0,1.0,0.006091479677706957,1.0,1.0
20,1.0,0.010044310241937637,1.0,1.0,1.0,0.004424627870321274,1.0,1.0
21,1.0,0.006660477723926306,1.0,1.0,1.0,0.003586801467463374,1.0,1.0
22,1.0,0.0055684298276901245,1.0,1.0,1.0,0.0032315775752067566,1.0,1.0
23,1.0,0.0038012233562767506,1.0,1.0,1.0,0.0031243329867720604,1.0,1.0
24,1.0,0.00549409631639719,1.0,1.0,1.0,0.003087181132286787,1.0,1.0
25,1.0,0.003823606763035059,1.0,1.0,1.0,0.00303231505677104,1.0,1.0
26,1.0,0.003961283713579178,1.0,1.0,1.0,0.0028661293908953667,1.0,1.0
27,1.0,0.004577734973281622,1.0,1.0,1.0,0.0026561252307146788,1.0,1.0
28,1.0,0.0034152024891227484,1.0,1.0,1.0,0.002357738558202982,1.0,1.0
29,1.0,0.003139763604849577,1.0,1.0,1.0,0.0019857464358210564,1.0,1.0
30,1.0,0.0018595254514366388,1.0,1.0,1.0,0.001602608128450811,1.0,1.0
31,1.0,0.002439013682305813,1.0,1.0,1.0,0.0012762665282934904,1.0,1.0
32,1.0,0.0019796877168118954,1.0,1.0,1.0,0.0011394296307116747,1.0,1.0
33,1.0,0.0010748612694442272,1.0,1.0,1.0,0.001181869301944971,1.0,1.0
34,1.0,0.0011714240536093712,1.0,1.0,1.0,0.0012058194261044264,1.0,1.0
35,1.0,0.0018181074410676956,1.0,1.0,1.0,0.0009365220903418958,1.0,1.0
36,1.0,0.0022479109466075897,1.0,1.0,1.0,0.000634299882221967,1.0,1.0
37,1.0,0.0007543479441665113,1.0,1.0,1.0,0.0005189276416786015,1.0,1.0
38,1.0,0.0007847253000363708,1.0,1.0,1.0,0.0004754610126838088,1.0,1.0
39,1.0,0.0007684967131353915,1.0,1.0,1.0,0.0004479546914808452,1.0,1.0
40,1.0,0.0005840729572810233,1.0,1.0,1.0,0.0004203432472422719,1.0,1.0
41,1.0,0.0005626823985949159,1.0,1.0,1.0,0.00039450317854061723,1.0,1.0
42,1.0,0.0006274369079619646,1.0,1.0,1.0,0.00036504308809526265,1.0,1.0
43,1.0,0.0004296707338653505,1.0,1.0,1.0,0.00033888817415572703,1.0,1.0
44,1.0,0.0004803984775207937,1.0,1.0,1.0,0.0003151153796352446,1.0,1.0
45,1.0,0.00040893800905905664,1.0,1.0,1.0,0.00029449965222738683,1.0,1.0
46,1.0,0.00038720437441952527,1.0,1.0,1.0,0.00027641563792712986,1.0,1.0
47,1.0,0.0003969086683355272,1.0,1.0,1.0,0.0002612360694911331,1.0,1.0
48,1.0,0.00039430742617696524,1.0,1.0,1.0,0.00024824606953188777,1.0,1.0
49,1.0,0.0003333892673254013,1.0,1.0,1.0,0.0002372967719566077,1.0,1.0
